m/z_RT_node,CNAT12_TV104__WC,CNAT1_TV105__WC,CNAT9_TV106__WC,MCAV1_TV107__WC,MCAV2_TV108__WC,MCAV3_TV109__WC,MCAV6_TV110__WC,MMEA14_TV103__WC,MMEA202_TV100_WC,MMEA24_TV99__WC,MMEA2_TV102__WC,OFAV12_TV113__WC,OFAV2_TV111__WC,OFAV3_TV112__WC,OFAV7_TV114__WC
,CNAT,CNAT,CNAT,MCAV,MCAV,MCAV,MCAV,MMEA,MMEA,MMEA,MMEA,OFAV,OFAV,OFAV,OFAV
263.237_16.3_1047,0,242766.5405,77471.3215,74162.942,15054.078,27840.868,71064.34,251512.913,0,118536.6885,353235.738,194744.091,56456.652,113659.9175,16504.96
496.34_12.7_543,2437811.759,3.38E+07,5.65E+07,1.14E+08,9.87E+07,3.04E+08,2.42E+08,1.13E+08,4.40E+07,1.19E+08,6.02E+07,1.68E+08,1.79E+07,6.10E+07,1.34E+08
263.237_16.2_2535,0,699163.2865,220450.3225,47946.219,0,0,39358.1965,139284.238,6634.782,0,0,331227.501,74443.963,123076.512,8252.48
790.379_10.2_2433,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
296.237_17.5_2451,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
464.374_19.8_2636,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
540.426_14.9_2431,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
468.191_9.4_2473,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
284.293_16_2453,0,0,35455.198,0,416826.427,0,0,19774.013,0,9481.988,0,0,0,0,0
568.457_16.2_2452,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
300.289_14.6_1710,0,181776.1645,52794.888,19093.221,8355.9505,58505.964,112024.725,218770.778,9420.196,72391.1695,102183.7575,155944.1565,120564.604,339972.8955,32643.904
654.332_16.8_2449,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
221.116_12.9_820,0,0,1735795.142,1204144.844,52731.0115,45035.55,520850.8125,8107147.477,1341986.461,3034552.459,9350680.181,1067781.569,0,0,330046.471
281.248_16.2_2455,10637.2,2681025.834,881661.591,442677.3365,220559.9755,27177.847,255923.44,1004172.501,0,382556.995,1168291.171,1181469.587,679464.353,926008.1445,82406.665
348.311_15.7_2478,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
362.298_13.7_2588,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
666.368_19.1_2584,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
328.321_16.3_1960,0,69978.8615,8987.535,201499.498,0,48846.843,47390.784,67881.039,0,31164.6315,81560.0595,44107.882,19968.576,68405.5885,7064.3925
